订单号,sku,数量
CK202005040000004,1011,293880
CK202005040000004,5415,293880
CK202005040000004,2954,293880
CK202005040000004,6375,293880
CK202005040000004,4249,293880
CK202005040000004,3027,293880
CK202005040000004,6281,293880
CK202005040000004,5425,293880
CK202005040000004,2374,293880
CK202005050000001,945,3151
CK202005050000001,1288,3151
CK202005050000002,945,74098
CK202005050000002,5338,74098
CK202005050000002,6212,74098
CK202005050000002,2105,74098
CK202005050000002,595,74098
CK202005050000002,6057,74098
CK202005050000002,1614,74098
CK202005050000002,2093,74098
CK202005050000002,1250,74098
CK202005050000002,1804,74098
CK202005050000002,1304,74098
CK202005050000002,1920,74098
CK202005050000002,4882,74098
CK202005050000002,1577,74098
CK202005050000002,4986,74098
CK202005050000003,945,72718
CK202005050000003,5338,72718
CK202005050000003,6212,72718
CK202005050000003,2105,72718
CK202005050000003,595,72718
CK202005050000003,6057,72718
CK202005050000003,2093,72718
CK202005050000003,1250,72718
CK202005050000003,1804,72718
CK202005050000003,1304,72718
CK202005050000003,1920,72718
CK202005050000003,4882,72718
CK202005050000003,1577,72718
CK202005050000003,4986,72718
CK202005050000005,3874,625
CK202005050000005,3291,625
CK202005050000005,7649,625
CK202005050000005,5671,625
CK202005050000005,7094,625
CK202005050000005,6481,625
CK202005050000006,8522,8760
CK202005050000006,3177,8760
CK202005050000006,4249,8760
CK202005050000006,1920,8760
CK202005050000006,852,8760
CK202005050000007,6754,45
CK202005050000007,6361,45
CK202005050000007,7793,45
CK202005060000001,5298,20078
CK202005060000002,5298,10039
CK202005060000003,7335,26650
CK202005060000003,8067,26650
CK202005060000003,4005,26650
CK202005060000003,9116,26650
CK202005070000001,1727,404151
CK202005070000001,3336,404151
CK202005070000001,4563,404151
CK202005070000001,99,404151
CK202005070000001,5650,404151
CK202005070000001,1647,404151
CK202005070000001,449,404151
CK202005070000001,5941,404151
CK202005070000001,9080,404151
CK202005070000001,5026,404151
CK202005070000002,1727,37359
CK202005070000002,2044,37359
CK202005070000002,2856,37359
CK202005070000003,1727,37359
CK202005070000003,2044,37359
CK202005070000003,2856,37359
CK202005070000004,1727,36400
CK202005070000004,2044,36400
CK202005070000004,2856,36400
CK202005090000001,6645,142367
CK202005090000001,6229,142367
CK202005090000001,3706,142367
CK202005090000001,4316,142367
CK202005090000001,603,142367
CK202005090000001,2414,142367
CK202005090000001,2299,142367
CK202005090000001,2248,142367
CK202005090000001,4777,142367
CK202005090000001,2034,142367
CK202005090000001,3331,142367
CK202005090000001,3073,142367
CK202005090000001,6497,142367
CK202005090000001,5316,142367
CK202005090000001,2745,142367
CK202005090000001,4285,142367
CK202005090000001,1647,142367
CK202005090000001,6459,142367
CK202005090000001,5360,142367
CK202005090000001,3058,142367
CK202005090000001,2150,142367
CK202005090000001,5866,142367
CK202005090000001,5478,142367
CK202005090000001,5113,142367
CK202005090000001,2529,142367
CK202005090000001,4413,142367
CK202005090000001,6494,142367
CK202005090000001,5582,142367
CK202005090000001,3145,142367
CK202005090000001,398,142367
CK202005090000001,3565,142367
CK202005090000001,6640,142367
CK202005090000001,5742,142367
CK202005090000001,5058,142367
CK202005090000001,3071,142367
CK202005090000001,3934,142367
CK202005090000001,4334,142367
CK202005090000002,6645,141389
CK202005090000002,6229,141389
CK202005090000002,3706,141389
CK202005090000002,4316,141389
CK202005090000002,603,141389
CK202005090000002,2414,141389
CK202005090000002,2299,141389
CK202005090000002,2248,141389
CK202005090000002,4777,141389
CK202005090000002,2034,141389
CK202005090000002,3331,141389
CK202005090000002,3073,141389
CK202005090000002,6497,141389
CK202005090000002,5316,141389
CK202005090000002,2745,141389
CK202005090000002,4285,141389
CK202005090000002,1647,141389
CK202005090000002,6459,141389
CK202005090000002,5360,141389
CK202005090000002,3058,141389
CK202005090000002,2150,141389
CK202005090000002,5866,141389
CK202005090000002,5478,141389
CK202005090000002,5113,141389
CK202005090000002,2529,141389
CK202005090000002,4413,141389
CK202005090000002,6494,141389
CK202005090000002,5582,141389
CK202005090000002,3145,141389
CK202005090000002,398,141389
CK202005090000002,3565,141389
CK202005090000002,6640,141389
CK202005090000002,5742,141389
CK202005090000002,5058,141389
CK202005090000002,3071,141389
CK202005090000002,3934,141389
CK202005090000002,4334,141389
CK202005090000003,2529,58
CK202005100000001,8063,9490
CK202005100000001,2733,9490
CK202005110000001,2733,12400
CK202005110000001,398,12400
CK202005110000002,5607,193814
CK202005110000002,5865,193814
CK202005110000002,1537,193814
CK202005110000002,2072,193814
CK202005110000002,459,193814
CK202005110000002,2574,193814
CK202005110000002,6958,193814
CK202005110000002,3694,193814
CK202005110000002,7321,193814
CK202005110000002,2733,193814
CK202005120000001,6470,27796
CK202005120000001,8360,27796
CK202005120000001,2017,27796
CK202005120000001,2887,27796
CK202005120000001,7551,27796
CK202005120000001,4119,27796
CK202005120000002,8786,41628
CK202005120000002,3437,41628
CK202005120000002,4310,41628
CK202005120000003,3151,41628
CK202005120000003,3437,41628
CK202005120000003,4310,41628
CK202005130000001,9,136670
CK202005130000001,155,136670
CK202005130000001,945,136670
CK202005130000001,347,136670
CK202005130000001,955,136670
CK202005130000001,106,136670
CK202005130000001,666,136670
CK202005130000001,2072,136670
CK202005130000001,1593,136670
CK202005130000001,1104,136670
CK202005130000001,4624,136670
CK202005130000001,3694,136670
CK202005130000001,5767,136670
CK202005130000002,452,112324
CK202005130000002,9,112324
CK202005130000002,23,112324
CK202005130000002,2,112324
CK202005130000002,155,112324
CK202005130000002,43,112324
CK202005130000002,633,112324
CK202005130000002,1157,112324
CK202005130000002,2017,112324
CK202005130000002,962,112324
CK202005130000003,452,101270
CK202005130000003,9,101270
CK202005130000003,23,101270
CK202005130000003,2,101270
CK202005130000003,43,101270
CK202005130000003,633,101270
CK202005130000003,1157,101270
CK202005130000003,2017,101270
CK202005130000003,962,101270
CK202005130000004,1061,152790
CK202005130000004,4068,152790
CK202005130000004,2052,152790
CK202005130000004,8595,152790
CK202005140000001,486,204399
CK202005140000001,19,204399
CK202005140000001,5820,204399
CK202005140000001,33,204399
CK202005140000001,341,204399
CK202005140000001,5493,204399
CK202005140000001,3451,204399
CK202005140000002,121,301242
CK202005140000002,4746,301242
CK202005140000002,684,301242
CK202005140000002,1500,301242
CK202005140000002,2412,301242
CK202005140000002,3194,301242
CK202005140000002,3343,301242
CK202005140000002,4017,301242
CK202005140000002,1326,301242
CK202005140000002,3397,301242
CK202005140000002,2743,301242
CK202005140000002,826,301242
CK202005140000002,982,301242
CK202005140000002,75,301242
CK202005140000002,7235,301242
CK202005140000002,1833,301242
CK202005140000002,1537,301242
CK202005140000002,3432,301242
CK202005140000002,473,301242
CK202005140000002,4677,301242
CK202005140000002,4350,301242
CK202005140000003,9,47975
CK202005140000003,53,47975
CK202005140000003,1453,47975
CK202005140000003,1292,47975
CK202005140000003,962,47975
CK202005140000003,4677,47975
CK202005140000004,9,47719
CK202005140000004,53,47719
CK202005140000004,1453,47719
CK202005140000004,1292,47719
CK202005140000004,962,47719
CK202005140000004,4677,47719
CK202005150000001,452,167757
CK202005150000001,2121,167757
CK202005150000001,1023,167757
CK202005150000001,4457,167757
CK202005150000001,3484,167757
CK202005150000001,1187,167757
CK202005150000001,3569,167757
CK202005150000001,1292,167757
CK202005150000001,1262,167757
CK202005150000001,64,167757
CK202005150000001,6087,167757
CK202005150000001,378,167757
CK202005150000001,595,167757
CK202005150000001,5164,167757
CK202005150000001,6604,167757
CK202005150000001,6246,167757
CK202005150000001,5026,167757
CK202005150000001,4902,167757
CK202005150000002,452,159006
CK202005150000002,2121,159006
CK202005150000002,1023,159006
CK202005150000002,4457,159006
CK202005150000002,3484,159006
CK202005150000002,1187,159006
CK202005150000002,3569,159006
CK202005150000002,1292,159006
CK202005150000002,1262,159006
CK202005150000002,64,159006
CK202005150000002,6087,159006
CK202005150000002,378,159006
CK202005150000002,595,159006
CK202005150000002,5164,159006
CK202005150000002,6604,159006
CK202005150000002,6246,159006
CK202005150000002,5026,159006
CK202005150000002,4902,159006
CK202005150000003,4406,30
CK202005150000004,3484,25655
CK202005150000004,6155,25655
CK202005150000004,2982,25655
CK202005150000004,3575,25655
CK202005150000004,4416,25655
CK202005150000004,2348,25655
CK202005150000004,2356,25655
CK202005150000004,4406,25655
CK202005150000005,100,6180
CK202005150000006,6155,12495
CK202005150000006,2982,12495
CK202005150000006,3575,12495
CK202005150000006,4416,12495
CK202005150000006,2348,12495
CK202005150000006,2356,12495
CK202005150000006,4406,12495
CK202005150000007,4345,42835
CK202005150000007,127,42835
CK202005150000007,2440,42835
CK202005150000007,8574,42835
CK202005150000007,1560,42835
CK202005150000007,7447,42835
CK202005150000007,8469,42835
CK202005150000007,5226,42835
CK202005150000007,5333,42835
CK202005150000007,4444,42835
CK202005150000007,4379,42835
CK202005150000007,6684,42835
CK202005150000008,8898,25332
CK202005150000008,7326,25332
CK202005150000008,4200,25332
CK202005150000008,1890,25332
CK202005150000009,1560,6300
CK202005160000001,100,574264
CK202005160000001,271,574264
CK202005160000001,160,574264
CK202005160000001,73,574264
CK202005160000001,743,574264
CK202005160000001,7499,574264
CK202005160000001,3151,574264
CK202005160000001,187,574264
CK202005160000001,3725,574264
CK202005160000001,1797,574264
CK202005160000001,6871,574264
CK202005160000001,1666,574264
CK202005160000001,923,574264
CK202005160000001,1178,574264
CK202005160000001,5569,574264
CK202005160000001,3760,574264
CK202005160000001,6406,574264
CK202005160000001,7063,574264
CK202005160000001,4398,574264
CK202005160000001,673,574264
CK202005160000001,1449,574264
CK202005160000001,2167,574264
CK202005160000001,1222,574264
CK202005160000001,1052,574264
CK202005160000001,1912,574264
CK202005160000001,4702,574264
CK202005160000001,2405,574264
CK202005160000001,1769,574264
CK202005160000001,633,574264
CK202005160000001,2993,574264
CK202005160000001,2367,574264
CK202005160000001,2949,574264
CK202005160000001,59,574264
CK202005160000001,1438,574264
CK202005160000001,2820,574264
CK202005160000001,5394,574264
CK202005160000002,4649,2700
CK202005160000002,4697,2700
CK202005160000003,127,352493
CK202005160000003,64,352493
CK202005160000003,3390,352493
CK202005160000003,2472,352493
CK202005160000003,3478,352493
CK202005160000003,6049,352493
CK202005160000003,2650,352493
CK202005160000003,1922,352493
CK202005160000003,2702,352493
CK202005160000003,6448,352493
CK202005160000003,2870,352493
CK202005160000003,3154,352493
CK202005160000003,4563,352493
CK202005160000003,8480,352493
CK202005160000003,2642,352493
CK202005160000003,4848,352493
CK202005160000003,3111,352493
CK202005160000003,6664,352493
CK202005160000003,5908,352493
CK202005160000003,4312,352493
CK202005160000003,7305,352493
CK202005160000003,3076,352493
CK202005160000003,4628,352493
CK202005160000003,6714,352493
CK202005160000003,8654,352493
CK202005160000003,2569,352493
CK202005160000003,7349,352493
CK202005160000003,2131,352493
CK202005160000003,9200,352493
CK202005160000003,8210,352493
CK202005160000003,1375,352493
CK202005160000003,7114,352493
CK202005160000003,4873,352493
CK202005170000001,341,74443
CK202005170000001,2884,74443
CK202005170000001,1438,74443
CK202005170000001,1596,74443
CK202005170000001,1922,74443
CK202005170000001,5481,74443
CK202005170000001,671,74443
CK202005170000001,7288,74443
CK202005170000002,452,490707
CK202005170000002,1358,490707
CK202005170000002,64,490707
CK202005170000002,9257,490707
CK202005170000003,672,1021468
CK202005170000003,19,1021468
CK202005170000003,1731,1021468
CK202005170000003,131,1021468
CK202005170000003,2330,1021468
CK202005170000003,2121,1021468
CK202005170000003,3121,1021468
CK202005170000003,632,1021468
CK202005170000003,1178,1021468
CK202005170000003,53,1021468
CK202005170000003,526,1021468
CK202005170000003,2098,1021468
CK202005170000003,934,1021468
CK202005170000003,1540,1021468
CK202005170000003,3871,1021468
CK202005170000003,3842,1021468
CK202005170000003,734,1021468
CK202005170000003,5899,1021468
CK202005170000003,2497,1021468
CK202005170000003,5861,1021468
CK202005170000003,660,1021468
CK202005170000003,197,1021468
CK202005170000003,2372,1021468
CK202005170000003,1411,1021468
CK202005170000003,225,1021468
CK202005170000003,624,1021468
CK202005170000003,972,1021468
CK202005170000003,1490,1021468
CK202005170000003,661,1021468
CK202005170000003,1922,1021468
CK202005170000003,1236,1021468
CK202005170000003,95,1021468
CK202005170000003,2313,1021468
CK202005170000004,672,1009768
CK202005170000004,19,1009768
CK202005170000004,1731,1009768
CK202005170000004,131,1009768
CK202005170000004,2330,1009768
CK202005170000004,2121,1009768
CK202005170000004,3121,1009768
CK202005170000004,632,1009768
CK202005170000004,1178,1009768
CK202005170000004,53,1009768
CK202005170000004,526,1009768
CK202005170000004,2098,1009768
CK202005170000004,934,1009768
CK202005170000004,1540,1009768
CK202005170000004,3871,1009768
CK202005170000004,3842,1009768
CK202005170000004,734,1009768
CK202005170000004,5899,1009768
CK202005170000004,2497,1009768
CK202005170000004,5861,1009768
CK202005170000004,660,1009768
CK202005170000004,197,1009768
CK202005170000004,2372,1009768
CK202005170000004,1411,1009768
CK202005170000004,225,1009768
CK202005170000004,624,1009768
CK202005170000004,972,1009768
CK202005170000004,1490,1009768
CK202005170000004,661,1009768
CK202005170000004,1922,1009768
CK202005170000004,1236,1009768
CK202005170000004,95,1009768
CK202005170000004,2313,1009768
CK202005180000001,271,486323
CK202005180000001,486,486323
CK202005180000001,160,486323
CK202005180000001,73,486323
CK202005180000001,727,486323
CK202005180000001,33,486323
CK202005180000001,612,486323
CK202005180000001,1666,486323
CK202005180000001,5829,486323
CK202005180000001,1137,486323
CK202005180000001,124,486323
CK202005180000001,3216,486323
CK202005180000001,2320,486323
CK202005180000001,2441,486323
CK202005180000001,3230,486323
CK202005180000001,1177,486323
CK202005180000001,1265,486323
CK202005180000001,82,486323
CK202005180000001,4420,486323
CK202005180000001,2215,486323
CK202005180000001,7041,486323
CK202005180000001,2147,486323
CK202005180000001,3943,486323
CK202005180000001,5398,486323
CK202005180000001,5429,486323
CK202005180000001,703,486323
CK202005180000001,805,486323
CK202005180000001,3726,486323
CK202005180000001,6526,486323
CK202005180000001,494,486323
CK202005180000001,1205,486323
CK202005180000001,7074,486323
CK202005180000001,6967,486323
CK202005180000001,650,486323
CK202005180000001,666,486323
CK202005180000001,1438,486323
CK202005180000001,562,486323
CK202005180000001,1292,486323
CK202005180000001,1609,486323
CK202005180000001,2274,486323
CK202005180000001,1851,486323
CK202005180000001,1489,486323
CK202005180000001,1498,486323
CK202005180000001,1262,486323
CK202005180000001,1323,486323
CK202005180000001,3330,486323
CK202005180000001,483,486323
CK202005180000001,4907,486323
CK202005180000001,2785,486323
CK202005180000001,4296,486323
CK202005180000001,448,486323
CK202005180000001,8109,486323
CK202005180000001,1771,486323
CK202005180000001,2285,486323
CK202005180000001,2072,486323
CK202005180000001,6841,486323
CK202005180000001,2048,486323
CK202005180000001,2375,486323
CK202005180000001,1103,486323
CK202005180000001,1140,486323
CK202005180000001,2131,486323
CK202005180000001,5275,486323
CK202005180000001,5652,486323
CK202005180000001,4780,486323
CK202005180000002,4790,4000
CK202005180000003,271,113195
CK202005180000003,341,113195
CK202005180000003,245,113195
CK202005180000003,82,113195
CK202005180000003,1438,113195
CK202005180000003,3724,113195
CK202005180000003,4370,113195
CK202005180000003,4684,113195
CK202005180000003,1898,113195
CK202005180000003,1821,113195
CK202005180000003,1400,113195
CK202005180000003,4397,113195
CK202005180000004,245,13000
CK202005180000005,271,147138
CK202005180000005,341,147138
CK202005180000005,245,147138
CK202005180000005,82,147138
CK202005180000005,1438,147138
CK202005180000005,682,147138
CK202005180000005,254,147138
CK202005180000005,755,147138
CK202005180000005,1388,147138
CK202005180000005,3724,147138
CK202005180000005,4370,147138
CK202005180000005,4684,147138
CK202005180000005,4536,147138
CK202005180000005,1898,147138
CK202005180000005,1821,147138
CK202005180000005,3599,147138
CK202005180000005,1400,147138
CK202005180000005,4397,147138
CK202005180000005,5913,147138
CK202005180000006,271,131688
CK202005180000006,341,131688
CK202005180000006,245,131688
CK202005180000006,82,131688
CK202005180000006,1438,131688
CK202005180000006,682,131688
CK202005180000006,254,131688
CK202005180000006,1388,131688
CK202005180000006,4370,131688
CK202005180000006,4684,131688
CK202005180000006,4536,131688
CK202005180000006,1898,131688
CK202005180000006,1821,131688
CK202005180000006,3599,131688
CK202005180000006,1400,131688
CK202005180000006,4397,131688
CK202005180000006,5913,131688
CK202005190000001,225,42310
CK202005190000001,1498,42310
CK202005190000001,8581,42310
CK202005190000001,2157,42310
CK202005190000001,9082,42310
CK202005190000001,4609,42310
CK202005190000001,1161,42310
CK202005190000001,7185,42310
CK202005190000002,2846,3090
CK202005190000003,59,60586
CK202005190000003,1411,60586
CK202005190000003,4867,60586
CK202005190000003,755,60586
CK202005190000003,420,60586
CK202005190000003,1388,60586
CK202005190000003,1810,60586
CK202005190000004,3366,5500
CK202005190000005,6333,90
CK202005190000006,727,449512
CK202005190000006,1054,449512
CK202005190000006,952,449512
CK202005190000006,1130,449512
CK202005190000006,1848,449512
CK202005190000006,1261,449512
CK202005190000006,1797,449512
CK202005190000006,5829,449512
CK202005190000006,2511,449512
CK202005190000006,2857,449512
CK202005190000006,6133,449512
CK202005190000006,4398,449512
CK202005190000006,2147,449512
CK202005190000006,2504,449512
CK202005190000006,2347,449512
CK202005190000006,2634,449512
CK202005190000006,1196,449512
CK202005190000006,6781,449512
CK202005190000006,7297,449512
CK202005190000006,8571,449512
CK202005190000006,7015,449512
CK202005190000006,4155,449512
CK202005190000006,2689,449512
CK202005190000006,3606,449512
CK202005190000006,4083,449512
CK202005190000006,127,449512
CK202005190000006,9066,449512
CK202005190000006,5833,449512
CK202005190000006,6272,449512
CK202005190000006,8410,449512
CK202005190000006,3516,449512
CK202005190000006,378,449512
CK202005190000006,3362,449512
CK202005190000006,781,449512
CK202005190000006,2048,449512
CK202005190000006,4893,449512
CK202005190000006,8162,449512
CK202005190000006,4283,449512
CK202005190000006,3326,449512
CK202005190000006,6253,449512
CK202005190000006,9193,449512
CK202005190000006,5797,449512
CK202005190000006,1420,449512
CK202005190000006,1361,449512
CK202005190000006,2569,449512
CK202005190000006,3023,449512
CK202005190000006,2909,449512
CK202005190000006,2782,449512
CK202005190000006,2788,449512
CK202005190000006,3876,449512
CK202005190000006,2608,449512
CK202005190000006,482,449512
CK202005190000006,7476,449512
CK202005190000006,7992,449512
CK202005190000006,1254,449512
CK202005190000006,3974,449512
CK202005200000001,121,63584
CK202005200000001,526,63584
CK202005200000001,755,63584
CK202005200000001,3724,63584
CK202005200000001,3801,63584
CK202005200000001,1400,63584
CK202005200000002,516,189722
CK202005200000002,1554,189722
CK202005200000002,5798,189722
CK202005200000002,3088,189722
CK202005200000002,6263,189722
CK202005200000002,526,189722
CK202005200000002,2147,189722
CK202005200000002,2753,189722
CK202005200000002,2689,189722
CK202005200000002,8296,189722
CK202005200000002,2193,189722
CK202005200000002,2285,189722
CK202005200000002,7164,189722
CK202005200000002,7895,189722
CK202005200000002,8416,189722
CK202005200000002,3592,189722
CK202005200000002,1721,189722
CK202005200000002,4587,189722
CK202005200000002,2129,189722
CK202005200000003,516,28370
CK202005200000003,1830,28370
CK202005200000003,5042,28370
CK202005200000003,5797,28370
CK202005200000003,7502,28370
CK202005200000004,53,139306
CK202005200000004,87,139306
CK202005200000004,1187,139306
CK202005200000004,2268,139306
CK202005200000004,2451,139306
CK202005200000004,930,139306
CK202005200000004,4736,139306
CK202005200000004,278,139306
CK202005200000004,8274,139306
CK202005200000004,3962,139306
CK202005200000005,2122,101047
CK202005200000005,488,101047
CK202005200000005,1600,101047
CK202005200000005,3756,101047
CK202005200000005,3138,101047
CK202005200000005,4600,101047
CK202005200000005,7933,101047
CK202005200000005,900,101047
CK202005200000005,8453,101047
CK202005200000005,4542,101047
CK202005200000005,1887,101047
CK202005200000005,7868,101047
CK202005200000005,5050,101047
CK202005200000006,4587,303
CK202005210000001,627,208984
CK202005210000001,632,208984
CK202005210000001,526,208984
CK202005210000001,3230,208984
CK202005210000001,2098,208984
CK202005210000001,784,208984
CK202005210000001,2193,208984
CK202005210000001,1020,208984
CK202005210000001,828,208984
CK202005210000001,5707,208984
CK202005210000001,1544,208984
CK202005210000001,1811,208984
CK202005210000001,990,208984
CK202005210000001,5057,208984
CK202005210000001,335,208984
CK202005210000001,2565,208984
CK202005210000001,819,208984
CK202005210000001,5112,208984
CK202005210000001,3106,208984
CK202005210000001,1400,208984
CK202005210000001,6129,208984
CK202005210000002,627,199576
CK202005210000002,632,199576
CK202005210000002,526,199576
CK202005210000002,3230,199576
CK202005210000002,2098,199576
CK202005210000002,784,199576
CK202005210000002,2193,199576
CK202005210000002,1020,199576
CK202005210000002,828,199576
CK202005210000002,5707,199576
CK202005210000002,1544,199576
CK202005210000002,1811,199576
CK202005210000002,990,199576
CK202005210000002,5057,199576
CK202005210000002,335,199576
CK202005210000002,2565,199576
CK202005210000002,819,199576
CK202005210000002,5112,199576
CK202005210000002,3106,199576
CK202005210000002,1400,199576
CK202005210000002,6129,199576
CK202005210000003,430,400384
CK202005210000003,1054,400384
CK202005210000003,4265,400384
CK202005210000003,2949,400384
CK202005210000003,4391,400384
CK202005210000003,5583,400384
CK202005210000003,3395,400384
CK202005210000003,1657,400384
CK202005210000003,2878,400384
CK202005210000003,130,400384
CK202005210000003,3037,400384
CK202005210000003,5235,400384
CK202005210000003,5230,400384
CK202005210000003,1708,400384
CK202005210000004,1130,199965
CK202005210000004,6578,199965
CK202005210000004,7220,199965
CK202005210000004,1882,199965
CK202005210000004,1181,199965
CK202005210000004,6429,199965
CK202005210000004,4833,199965
CK202005210000004,2649,199965
CK202005210000004,4479,199965
CK202005210000004,4359,199965
CK202005210000004,4551,199965
CK202005210000004,4759,199965
CK202005210000004,6569,199965
CK202005210000004,5718,199965
CK202005210000004,4786,199965
CK202005210000004,1124,199965
CK202005210000004,1683,199965
CK202005210000004,2793,199965
CK202005210000004,4548,199965
CK202005210000004,5706,199965
CK202005210000004,1256,199965
CK202005210000005,3756,7951
CK202005210000006,363,71790
CK202005210000006,3330,71790
CK202005210000006,2266,71790
CK202005210000006,1020,71790
CK202005210000006,3861,71790
CK202005210000006,4388,71790
CK202005210000007,3784,71200
CK202005210000007,363,71200
CK202005210000007,2266,71200
CK202005210000007,1020,71200
CK202005210000007,3861,71200
CK202005210000007,4388,71200
CK202005220000001,3088,147349
CK202005220000001,6133,147349
CK202005220000001,944,147349
CK202005220000001,3784,147349
CK202005220000001,8311,147349
CK202005220000001,8577,147349
CK202005220000001,7309,147349
CK202005220000001,2689,147349
CK202005220000001,2274,147349
CK202005220000001,661,147349
CK202005220000001,2890,147349
CK202005220000001,95,147349
CK202005220000001,5318,147349
CK202005220000001,4893,147349
CK202005220000001,1736,147349
CK202005220000001,278,147349
CK202005220000001,8519,147349
CK202005220000001,6197,147349
CK202005220000001,2470,147349
CK202005220000001,3211,147349
CK202005220000002,4797,250044
CK202005220000002,1187,250044
CK202005220000002,660,250044
CK202005220000002,4874,250044
CK202005220000002,2686,250044
CK202005220000002,963,250044
CK202005220000002,4932,250044
CK202005220000002,2473,250044
CK202005220000002,5487,250044
CK202005220000002,659,250044
CK202005220000002,4194,250044
CK202005220000002,794,250044
CK202005220000002,3278,250044
CK202005220000002,5029,250044
CK202005220000002,4747,250044
CK202005220000002,4495,250044
CK202005220000002,1844,250044
CK202005220000002,791,250044
CK202005220000002,903,250044
CK202005220000002,3616,250044
CK202005220000002,5282,250044
CK202005220000002,7378,250044
CK202005220000002,3590,250044
CK202005220000002,3141,250044
CK202005220000003,1187,123768
CK202005220000003,1833,123768
CK202005220000003,4708,123768
CK202005220000003,3571,123768
CK202005220000003,4592,123768
CK202005220000003,4532,123768
CK202005220000003,4268,123768
